InsertionSort-Cresc,InsertionSort-Decresc,InsertionSort-Aleatorio,
0,0,0,
2,3,2,
4,8,4,
6,15,10,
8,24,9,
10,35,28,
12,48,16,
14,63,43,
16,80,41,
18,99,55,
20,120,75,
22,143,80,
24,168,103,
26,195,107,
28,224,152,
30,255,121,
32,288,166,
34,323,198,
36,360,192,
38,399,263,
40,440,256,
42,483,261,
44,528,329,
46,575,335,
48,624,278,
50,675,395,
52,728,410,
54,783,403,
56,840,580,
58,899,423,
60,960,512,
62,1023,498,
64,1088,599,
66,1155,499,
68,1224,643,
70,1295,753,
72,1368,751,
74,1443,768,
76,1520,845,
78,1599,934,
80,1680,1066,
82,1763,983,
84,1848,835,
86,1935,833,
88,2024,1066,
90,2115,956,
92,2208,1099,
94,2303,1063,
96,2400,1212,
98,2499,1442,
100,2600,1206,
102,2703,1530,
104,2808,1652,
106,2915,1593,
108,3024,1642,
110,3135,1728,
112,3248,1574,
114,3363,1853,
116,3480,1841,
118,3599,1850,
120,3720,1833,
122,3843,2007,
124,3968,2149,
126,4095,2076,
128,4224,2164,
130,4355,2351,
132,4488,2291,
134,4623,2101,
136,4760,2816,
138,4899,2739,
140,5040,2295,
142,5183,2485,
144,5328,2594,
146,5475,2639,
148,5624,3138,
150,5775,2933,
152,5928,3014,
154,6083,3144,
156,6240,2981,
158,6399,3086,
160,6560,3388,
162,6723,3478,
164,6888,3246,
166,7055,3709,
168,7224,3368,
170,7395,3998,
172,7568,3856,
174,7743,3992,
176,7920,4066,
178,8099,3911,
180,8280,4357,
182,8463,4103,
184,8648,4198,
186,8835,4424,
188,9024,4269,
190,9215,5020,
192,9408,4363,
194,9603,4776,
196,9800,5042,
198,9999,4743,
